인허가일자,영업상태명,폐업일자,사업장명,지번주소,업태구분명,좌표정보(X),좌표정보(Y)
20060804,영업/정상,20250101,우미정육점,서울특별시 강서구 방화동 607-153 ,식육판매업,183448.5957,451594.3041
20060913,취소/말소/만료/정지/중지,20250101,세계로축산,서울특별시 강서구 화곡동 398-19 1층 ,식육판매업,186476.7649,448046.5444
20061020,취소/말소/만료/정지/중지,20230731,백향돈정육마트,서울특별시 강서구 화곡동 351-58,식육판매업,186071.6769,448056.6815
20061116,영업/정상,20250101,참정육,서울특별시 강서구 등촌동 715 현대아이파크 주상가 1층 106호 ,식육판매업,187578.179,449082.4341
20061124,영업/정상,20250101,대연 마니커총판,서울특별시 강서구 내발산동 720-20,식육판매업,185390.6419,449676.9546
20061226,영업/정상,20250101,우리홈마트,서울특별시 강서구 화곡동 373-15 1층,식육판매업,185538.9004,448023.6927
20070105,취소/말소/만료/정지/중지,20230731,(주)에스와이미트축산,서울특별시 강서구 공항동 53-2,식육판매업,183221.3079,450880.8969
20070119,폐업,20230529,축산이야기,서울특별시 강서구 염창동 242-34,식육판매업,188097.2699,450321.4082
20070205,영업/정상,20250101,소문난 한우 전문점,서울특별시 강서구 방화동 576-3,식육판매업,183371.2874,452176.7418
20070419,취소/말소/만료/정지/중지,20250101,사랑축산,서울특별시 강서구 화곡동 354-5 ,식육판매업,185898.7681,447945.5832
20070518,취소/말소/만료/정지/중지,20230731,목우촌 서부축산,서울특별시 강서구 화곡동 815-29 201호,식육판매업,187559.4006,448236.2392
20070706,영업/정상,20250101,태경축산,서울특별시 강서구 공항동 666-1,식육판매업,183493.7018,450597.3016
20070709,취소/말소/만료/정지/중지,20250101,(주)한강푸드,서울특별시 강서구 방화동 616-27 ,식육판매업,182965.9147,451379.2842
20070820,취소/말소/만료/정지/중지,20250101,대성유통,서울특별시 강서구 화곡동 829-7 ,식육판매업,187448.6002,447926.2191
20070828,취소/말소/만료/정지/중지,20250101,성원축산도소매,서울특별시 강서구 화곡동 802-18 ,식육판매업,187641.5118,447888.6819
20070910,폐업,20230630,대흥할인마트,서울특별시 강서구 화곡동 1017,식육판매업,185180.6058,449122.1922
20070917,영업/정상,20250101,형제정육점,서울특별시 강서구 화곡동 1021-4 진한빌딩 111호,식육판매업,185442.7841,449128.3027
20071012,폐업,20250101,육미연정육,서울특별시 강서구 화곡동 1119-10 ,식육판매업,186806.8421,450049.1508
20071121,영업/정상,20250101,명품정육점,서울특별시 강서구 등촌동 707-1 등촌8단지주공아파트 종합상가1층102호 ,식육판매업,186775.4935,451077.6688
20071126,영업/정상,20250101,동횡성농업협동조합,서울특별시 강서구 공항동 48-45 농협중앙회 공항동지점3층 ,식육판매업,183018.2608,451086.0642
20071214,취소/말소/만료/정지/중지,20230731,한마리유통,서울특별시 강서구 화곡동 910-23,식육판매업,186188.2519,447339.4242
20080321,영업/정상,20250101,제일축산,서울특별시 강서구 등촌동 514-3,식육판매업,187673.9928,449256.7591
20080411,영업/정상,20250101,동진한우,서울특별시 강서구 화곡동 798-1,식육판매업,187662.1592,447864.7775
20080429,영업/정상,20250101,안심사랑축산전문점,서울특별시 강서구 화곡동 340-41,식육판매업,186387.9805,447869.5398
20080604,취소/말소/만료/정지/중지,20250101,MS미트,서울특별시 강서구 화곡동 860-15 ,식육판매업,187079.5765,447695.6121
20080604,영업/정상,20250101,공항할인마트,서울특별시 강서구 방화동 614-52 현대빌딩,식육판매업,183243.4686,451415.8358
20080609,취소/말소/만료/정지/중지,20250101,보리먹인고기나라,서울특별시 강서구 화곡동 774-14 ,식육판매업,187801.5136,447915.3576
20080718,폐업,20220805,대원미트,서울특별시 강서구 염창동 110-13,식육판매업,188844.9872,450059.4626
20080718,취소/말소/만료/정지/중지,20230731,유래가든,서울특별시 강서구 공항동 53-40,식육판매업,183161.8931,450909.0563
20080807,영업/정상,20250101,우리축산,서울특별시 강서구 화곡동 1159-1 대림e편한세상지하상가 지하1층 ,식육판매업,185509.7552,449581.9285
20080903,영업/정상,20250101,까치축산,서울특별시 강서구 화곡동 342-35 101호,식육판매업,186447.8782,447694.4228
20080909,취소/말소/만료/정지/중지,20250101,대경유통,서울특별시 강서구 방화동 575-29 ,식육판매업,183334.6316,452237.0578
20081111,영업/정상,20250101,엉터리정육점,서울특별시 강서구 염창동 263-2 ,식육판매업,188824.4977,449702.3361
20081119,영업/정상,20250101,진로마트,서울특별시 강서구 화곡동 140-19,식육판매업,185946.2786,448848.9497
20081204,폐업,20230607,소문난대박갈비살,서울특별시 강서구 염창동 240-21 우림블루나인 A동 지하102호,식육판매업,187952.56,450562.0202
20081224,영업/정상,20250101,주공하나로마트,서울특별시 강서구 등촌동 687 지하1층 ,식육판매업,186009.1945,451422.0553
20090107,취소/말소/만료/정지/중지,20230731,경인제일푸드,서울특별시 강서구 화곡동 51-23,식육판매업,186558.1136,448936.1081
20090113,영업/정상,20250101,한라경성정육점,서울특별시 강서구 화곡동 424-57 ,식육판매업,185759.3703,447745.7491
20090212,폐업,20220518,롯데쇼핑(주)롯데슈퍼 우장산점,서울특별시 강서구 내발산동 719-6 지하1층,식육판매업,185431.0666,449714.8138
20090302,영업/정상,20250101,하나할인마트 정육코너,서울특별시 강서구 염창동 303 강변코아루상가 1층,식육판매업,188748.5137,450121.8991
20090311,영업/정상,20250101,화로구이,서울특별시 강서구 등촌동 673 ,식육판매업,185688.5578,450764.4958
20090317,영업/정상,20250101,휘앤비(주),서울특별시 강서구 염창동 252-16,식육판매업,188907.1459,449738.825
20090402,영업/정상,20250101,소마당,서울특별시 강서구 방화동 619-13 공항시장,식육판매업,183085.2633,451249.0959
20090403,영업/정상,20250101,아리수축산사랑,서울특별시 강서구 가양동 1461 아파트상가 107호,식육판매업,186429.3278,452034.2757
20090406,취소/말소/만료/정지/중지,20250101,윤도훈의맛갈비,서울특별시 강서구 등촌동 654-12 ,식육판매업,187318.5378,450381.1252
20090415,취소/말소/만료/정지/중지,20230731,대가한우소,서울특별시 강서구 등촌동 628-5,식육판매업,187117.2241,450868.7206
20090519,취소/말소/만료/정지/중지,20250101,금송아지정육센터,서울특별시 강서구 등촌동 662-3 ,식육판매업,186483.5862,450699.0037
20090603,폐업,20250101,발산정육,서울특별시 강서구 내발산동 691 성호빌딩 B01호 ,식육판매업,184896.3462,450118.2414
20090608,취소/말소/만료/정지/중지,20250101,류도현한방황오리정육점,서울특별시 강서구 염창동 280-5 ,식육판매업,188608.8319,449528.9345
20090618,영업/정상,20250101,한우야 정육점,서울특별시 강서구 내발산동 750-9 웨스트엔드문화센터 105호,식육판매업,184615.2625,450059.8126
20090622,폐업,20230403,우리축산도매센타,서울특별시 강서구 화곡동 970-19,식육판매업,186579.3241,449454.3916
20090717,폐업,20220124,쎄일마트정육점,서울특별시 강서구 화곡동 873-12 ,식육판매업,186813.0274,447618.1056
20090805,취소/말소/만료/정지/중지,20230731,더존한우,서울특별시 강서구 공항동 1373,식육판매업,182974.8501,450419.6846
20090811,영업/정상,20250101,부길축산(주),서울특별시 강서구 외발산동 424,식육판매업,183914.9383,450085.0146
20090818,취소/말소/만료/정지/중지,20230731,진로마트염창점,서울특별시 강서구 염창동 274-17,식육판매업,,
20090821,영업/정상,20250101,한냉-선미트,서울특별시 강서구 등촌동 652-1 ,식육판매업,187460.0671,450240.3086
20090821,영업/정상,20250101,프라임축산,서울특별시 강서구 염창동 282-34,식육판매업,188791.2501,449473.2369
20090826,폐업,20250101,S마트 정육,서울특별시 강서구 화곡동 111-70 지1층 ,식육판매업,186166.3363,449256.2688
20090915,영업/정상,20250101,평화축산유통,서울특별시 강서구 외발산동 424 수협공판장 7호,식육판매업,183914.9383,450085.0146
20091001,폐업,20230531,진향정육마트,서울특별시 강서구 염창동 250-8,식육판매업,188870.6639,449748.8076
20091012,취소/말소/만료/정지/중지,20250101,본토생고기,서울특별시 강서구 방화동 849 101호,식육판매업,182876.3679,452247.3938
20091029,취소/말소/만료/정지/중지,20230731,늘푸른정육점,서울특별시 강서구 화곡동 1091 푸르지오 상가 A동 102호,식육판매업,185034.347,449164.9725
20091106,폐업,20250101,본토푸줏간,서울특별시 강서구 내발산동 658 ,식육판매업,185972.6913,450530.5223
20091110,영업/정상,20250101,자유로정육,서울특별시 강서구 화곡동 1023,식육판매업,185478.1091,449151.7148
20091116,영업/정상,20250101,여물소 축산,서울특별시 강서구 화곡동 362-82,식육판매업,185651.5499,448041.1661
20091119,영업/정상,20250101,강서아이쿱소비자생활협동조합(등촌점),서울특별시 강서구 등촌동 667-3 ,식육판매업,186167.9396,450750.2814
